"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 23 16:49:34 CST 2021","Sat Oct 23 16:49:44 CST 2021","10145","scr.testcase","test_homepage","TestHomePage","","","首页测试用例01","进入首页，点击招工信息，可进入招工详情页"
"broken","Sat Oct 23 16:54:18 CST 2021","Sat Oct 23 16:54:26 CST 2021","8396","scr.testcase","test_homepage","TestHomePage","","","首页测试用例12","找工作-输入搜索内容，点击搜索，成功展示标题包含输入内容的搜索内容"
"passed","Sat Oct 23 16:49:12 CST 2021","Sat Oct 23 16:49:31 CST 2021","19425","scr.testcase","test_findworker","TestFindWorker","","","找工人测试用例08","点击【职业技能】，跳转职业技能添加页，输入文本，点击保存，保存成功"
"passed","Sat Oct 23 16:58:39 CST 2021","Sat Oct 23 16:58:49 CST 2021","10408","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例08","“我是超级会员”点击【查看详情】，跳转超级会员页面"
"passed","Sat Oct 23 16:56:49 CST 2021","Sat Oct 23 16:57:00 CST 2021","10903","scr.testcase","test_login","TestLogin","","","登录测试用例02","输入错误的手机号和正确的验证码，提示“请输入正确的手机号码”"
"failed","Sat Oct 23 16:52:15 CST 2021","Sat Oct 23 16:52:25 CST 2021","10178","scr.testcase","test_homepage","TestHomePage","","","首页测试用例05","首页-点击【工厂/快递】，成功进入工厂/快递页面，只展示工厂/快递类招工"
"passed","Sat Oct 23 16:44:08 CST 2021","Sat Oct 23 16:44:25 CST 2021","17386","scr.testcase","test_findwork","TestFindWork","","","找工作测试用例03","只选择城市，页面只展示该城市的招工信息"
"passed","Sat Oct 23 16:53:41 CST 2021","Sat Oct 23 16:53:51 CST 2021","10436","scr.testcase","test_homepage","TestHomePage","","","首页测试用例11","点击搜索输入框，跳转搜索页面"
"passed","Sat Oct 23 16:57:03 CST 2021","Sat Oct 23 16:57:13 CST 2021","9328","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例01","点击个人资料，跳转个人资料设置页"
"passed","Sat Oct 23 16:58:52 CST 2021","Sat Oct 23 16:59:11 CST 2021","18539","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例09","点击【意见反馈】，填写意见内容，点击提交,提交成功"
"passed","Sat Oct 23 16:48:27 CST 2021","Sat Oct 23 16:48:48 CST 2021","20617","scr.testcase","test_findworker","TestFindWorker","","","找工人测试用例06","编辑我的名片，修改工龄成功"
"failed","Sat Oct 23 16:50:15 CST 2021","Sat Oct 23 16:50:24 CST 2021","9930","scr.testcase","test_homepage","TestHomePage","","","首页测试用例02","首页-点击【建筑招工】，成功进入建筑招工页面，只展示建筑类招工"
"passed","Sat Oct 23 16:56:35 CST 2021","Sat Oct 23 16:56:46 CST 2021","11078","scr.testcase","test_login","TestLogin","","","登录测试用例02","输入正确的手机号和错误的验证码，提示“验证码输入错误”"
"passed","Sat Oct 23 16:58:11 CST 2021","Sat Oct 23 16:58:21 CST 2021","10482","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例06","点击【谁看过我的名片】，谁看过我的名片"
"passed","Sat Oct 23 16:57:44 CST 2021","Sat Oct 23 16:57:54 CST 2021","10267","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例04","点击【我的招工】，跳转我发布的招工页面"
"broken","Sat Oct 23 16:56:22 CST 2021","Sat Oct 23 16:56:32 CST 2021","10051","scr.testcase","test_login","TestLogin","","","登录测试用例01","输入正确的手机号和验证，登陆成功"
"passed","Sat Oct 23 16:43:55 CST 2021","Sat Oct 23 16:44:05 CST 2021","10192","scr.testcase","test_findwork","TestFindWork","","","找工作测试用例02","点击顶部【我的找活】按钮，跳转我的找活名片页"
"passed","Sat Oct 23 16:44:29 CST 2021","Sat Oct 23 16:44:49 CST 2021","20379","scr.testcase","test_findwork","TestFindWork","","","找工作测试用例04","只选择工种，页面只展示该工种的招工信息"
"passed","Sat Oct 23 16:53:09 CST 2021","Sat Oct 23 16:53:20 CST 2021","10646","scr.testcase","test_homepage","TestHomePage","","","首页测试用例09","点击菜单栏【找工人】，切换至找工人页面"
"failed","Sat Oct 23 16:46:16 CST 2021","Sat Oct 23 16:46:46 CST 2021","30018","scr.testcase","test_findwork","TestFindWork","","","找工作测试用例06","发布招工"
"passed","Sat Oct 23 16:47:03 CST 2021","Sat Oct 23 16:47:23 CST 2021","19373","scr.testcase","test_findworker","TestFindWorker","","","找工人测试用例02","只选择城市，页面只展示该城市的找活信息"
"passed","Sat Oct 23 16:52:42 CST 2021","Sat Oct 23 16:52:52 CST 2021","10936","scr.testcase","test_homepage","TestHomePage","","","首页测试用例07","点击底部【我的找活】按钮，跳转我的找活名片页"
"passed","Sat Oct 23 16:52:56 CST 2021","Sat Oct 23 16:53:06 CST 2021","10320","scr.testcase","test_homepage","TestHomePage","","","首页测试用例08","点击菜单栏【找工作】，切换至找工作页面"
"passed","Sat Oct 23 16:57:58 CST 2021","Sat Oct 23 16:58:08 CST 2021","10253","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例05","点击【谁看过我的招工】，跳转招工浏览记录页面"
"passed","Sat Oct 23 16:57:28 CST 2021","Sat Oct 23 16:57:41 CST 2021","12310","scr.testcase","test_personal","TestPersonalPage","","","个人中心测试用例03","“获取开工豆”-点击【直接去充值】，跳转充值开工豆页面"
"passed","Sat Oct 23 16:47:49 CST 2021","Sat Oct 23 16:48:07 CST 2021","17428","scr.testcase","test_findworker","TestFindWorker","","","找工人测试用例04","只选择其他选项，页面只展示实名的找活信息"
"failed","Sat Oct 23 16:50:54 CST 2021","Sat Oct 23 16:51:04 CST 2021","9999","scr.testcase","test_homepage","TestHomePage","","","首页测试用例03","首页-点击【装修招工】，成功进入装修招工页面，只展示装修类招工"
